date,n1,n2,n3,n4,n5
2007/9/19,37,4,6,24,17
2007/9/20,25,7,26,20,13
2007/9/21,24,38,17,34,12
2007/9/24,2,36,31,3,37
2007/9/25,1,19,27,36,17
2007/9/26,32,37,33,31,8
2007/9/27,16,11,12,6,33
2007/9/28,4,37,9,26,17
2007/10/1,33,35,2,31,28
2007/10/2,23,22,1,26,8
2007/10/3,5,24,1,8,12
2007/10/4,36,2,35,24,6
2007/10/5,34,39,11,25,8
2007/10/8,21,14,19,34,16
2007/10/9,12,26,22,5,7
2007/10/10,22,8,27,24,1
2007/10/11,36,26,18,4,23
2007/10/12,12,1,17,23,13
2007/10/15,17,10,31,9,18
2007/10/16,11,15,22,20,34
2007/10/17,19,3,18,7,23
2007/10/18,21,31,11,13,22
2007/10/19,22,7,29,27,32
2007/10/22,23,18,1,13,33
2007/10/23,3,22,9,4,39
2007/10/24,31,29,17,1,3
2007/10/25,20,11,16,31,9
2007/10/26,17,23,29,37,19
2007/10/29,17,4,39,32,3
2007/10/30,4,27,3,22,6
2007/10/31,15,35,23,28,36
2007/11/1,12,30,14,9,22
2007/11/2,5,4,30,31,1
2007/11/5,28,12,31,26,38
2007/11/6,33,9,37,26,32
2007/11/7,21,6,12,20,30
2007/11/8,29,36,23,25,24
2007/11/9,36,28,2,18,12
2007/11/12,34,36,33,37,30
2007/11/13,18,6,5,16,29
2007/11/14,39,24,9,31,2
2007/11/15,37,6,29,35,21
2007/11/16,10,19,32,5,1
2007/11/19,10,25,20,17,19
2007/11/20,32,7,36,25,34
2007/11/21,6,38,17,20,10
2007/11/22,38,15,4,12,30
2007/11/23,7,16,13,31,24
2007/11/26,5,19,12,29,30
2007/11/27,11,34,12,19,5
2007/11/28,11,1,14,28,6
2007/11/29,12,38,24,29,15
2007/11/30,9,32,27,3,35
2007/12/3,24,28,3,11,31
2007/12/4,39,11,32,36,15
2007/12/5,3,8,9,11,36
2007/12/6,11,39,29,14,32
2007/12/7,22,28,24,15,16
2007/12/10,38,7,19,18,2
2007/12/11,24,21,20,15,35
2007/12/12,19,36,38,10,27
2007/12/13,32,22,26,13,7
2007/12/14,37,14,2,28,15
2007/12/17,24,2,8,13,26
2007/12/18,24,30,36,21,7
2007/12/19,13,39,6,7,27
2007/12/20,30,24,13,16,29
2007/12/21,38,30,37,1,2
2007/12/24,37,19,34,36,31
2007/12/25,22,28,13,4,2
2007/12/26,33,11,1,18,20
2007/12/27,4,3,1,26,19
2007/12/28,30,14,22,2,1
2007/12/31,20,25,37,12,11
2008/1/1,26,35,11,31,37
2008/1/2,2,9,24,10,30
2008/1/3,38,33,28,32,18
2008/1/4,36,17,7,20,28
2008/1/7,2,11,18,21,19
2008/1/8,12,1,20,19,35
2008/1/9,19,4,9,16,29
2008/1/10,8,39,22,11,1
2008/1/11,8,30,4,27,32
2008/1/14,4,35,34,38,19
2008/1/15,11,26,16,5,21
2008/1/16,9,23,30,10,11
2008/1/17,35,2,30,38,37
2008/1/18,5,32,36,31,15
2008/1/21,29,1,26,23,11
2008/1/22,7,4,23,17,1
2008/1/23,11,28,3,4,1
2008/1/24,37,26,12,1,8
2008/1/25,20,15,2,17,8
2008/1/28,28,13,32,2,36
2008/1/29,1,29,9,10,4
2008/1/30,17,37,28,1,16
2008/1/31,17,2,24,35,1
2008/2/1,3,34,10,37,23
2008/2/4,26,12,3,34,23
2008/2/5,1,18,4,10,31
2008/2/6,17,4,18,29,33
2008/2/7,34,30,6,33,32
2008/2/8,10,34,11,3,38
2008/2/11,38,13,18,37,25
2008/2/12,28,38,10,1,12
2008/2/13,34,28,14,36,37
2008/2/14,36,39,3,10,4
2008/2/15,39,26,24,1,27
2008/2/18,17,14,18,21,5
2008/2/19,11,16,24,35,30
2008/2/20,20,11,33,30,27
2008/2/21,10,6,22,31,37
2008/2/22,9,23,32,22,26
2008/2/25,23,1,18,4,31
2008/2/26,30,32,28,37,36
2008/2/27,33,35,1,34,6
2008/2/28,22,20,3,1,9
2008/2/29,25,38,34,8,27
2008/3/3,5,13,4,22,10
2008/3/4,11,21,19,5,12
2008/3/5,2,13,14,15,10
2008/3/6,17,3,21,15,9
2008/3/7,15,36,39,6,7
2008/3/10,13,17,16,29,31
2008/3/11,22,4,10,17,16
2008/3/12,9,37,24,36,27
2008/3/13,11,21,33,1,19
2008/3/14,2,26,6,16,28
2008/3/17,16,20,11,2,37
2008/3/18,10,31,16,20,32
2008/3/19,21,33,14,1,19
2008/3/20,6,29,3,20,22
2008/3/21,10,4,19,20,30
2008/3/24,2,5,26,29,30
2008/3/25,1,8,3,30,36
2008/3/26,9,12,13,15,31
2008/3/27,37,14,29,20,26
2008/3/28,35,7,39,14,31
2008/3/31,16,38,32,9,30
2008/4/1,6,12,35,18,16
2008/4/2,4,26,10,14,24
2008/4/3,2,18,24,36,21
2008/4/4,35,17,10,21,32
2008/4/7,16,22,7,24,6
2008/4/8,7,10,37,15,38
2008/4/9,9,21,15,13,28
2008/4/10,5,24,9,17,8
2008/4/11,5,30,37,16,34
2008/4/14,10,18,2,21,17
2008/4/15,18,31,25,6,26
2008/4/16,22,33,7,18,20
2008/4/17,5,28,22,29,19
2008/4/18,20,12,35,32,11
2008/4/21,24,15,22,33,8
2008/4/22,3,10,12,19,24
2008/4/23,7,5,21,9,4
2008/4/24,38,33,25,14,3
2008/4/25,4,7,11,19,24
2008/4/28,19,21,15,2,17
2008/4/29,7,29,11,4,8
2008/4/30,27,39,30,25,10
2008/5/1,17,25,34,5,20
2008/5/2,1,13,15,16,30
2008/5/5,33,29,19,27,16
2008/5/6,8,33,16,17,38
2008/5/7,19,4,18,35,27
2008/5/8,39,23,35,33,27
2008/5/9,5,34,24,32,26
2008/5/12,9,5,35,18,31
2008/5/13,29,36,21,31,6
2008/5/14,36,28,31,37,4
2008/5/15,18,21,11,38,27
2008/5/16,20,13,18,23,21
2008/5/19,11,10,31,28,34
2008/5/20,4,28,24,18,38
2008/5/21,20,12,35,8,34
2008/5/22,31,11,21,25,38
2008/5/23,35,11,33,34,8
2008/5/26,3,30,23,2,17
2008/5/27,38,32,31,33,30
2008/5/28,39,31,30,1,3
2008/5/29,21,34,23,14,6
2008/5/30,30,25,23,16,33
2008/6/2,32,2,29,8,6
2008/6/3,33,19,6,9,35
2008/6/4,27,33,29,19,20
2008/6/5,23,17,4,27,29
2008/6/6,28,31,20,7,11
2008/6/9,16,20,35,27,7
2008/6/10,3,9,35,26,25
2008/6/11,19,11,7,20,14
2008/6/12,17,12,35,39,29
2008/6/13,1,33,38,9,4
2008/6/16,30,21,33,25,28
2008/6/17,1,4,10,16,37
2008/6/18,18,5,30,19,16
2008/6/19,29,11,18,6,4
2008/6/20,6,12,17,23,5
2008/6/23,17,14,29,18,24
2008/6/24,7,13,5,27,35
2008/6/25,28,34,6,7,18
2008/6/26,1,9,17,22,24
2008/6/27,34,12,19,6,22
2008/6/30,20,31,36,37,5
2008/7/1,6,35,10,36,9
2008/7/2,14,10,33,27,39
2008/7/3,37,18,1,16,4
2008/7/4,31,33,20,39,25
2008/7/7,9,16,20,38,37
2008/7/8,23,20,8,3,5
2008/7/9,1,11,17,21,34
2008/7/10,16,22,13,34,26
2008/7/11,34,5,30,10,12
2008/7/14,2,9,32,33,37
2008/7/15,27,25,28,20,2
2008/7/16,3,17,8,30,16
2008/7/17,27,2,8,20,25
2008/7/18,23,9,19,39,13
2008/7/21,5,10,17,23,19
2008/7/22,5,21,19,6,28
2008/7/23,18,30,4,22,26
2008/7/24,11,38,13,8,1
2008/7/25,32,26,8,17,28
2008/7/28,15,26,24,22,36
2008/7/29,38,13,6,32,12
2008/7/30,6,17,10,28,34
2008/7/31,24,31,3,39,20
2008/8/1,10,23,36,1,29
2008/8/4,9,17,25,11,14
2008/8/5,10,33,3,13,20
2008/8/6,27,22,33,38,30
2008/8/7,26,8,15,11,25
2008/8/8,6,14,1,17,31
2008/8/11,14,36,6,10,4
2008/8/12,9,28,3,33,5
2008/8/13,3,34,32,29,8
2008/8/14,25,39,28,22,18
2008/8/15,7,23,34,38,4
2008/8/18,27,32,23,2,4
2008/8/19,37,8,31,14,20
2008/8/20,30,17,31,37,35
2008/8/21,28,13,23,37,12
2008/8/22,3,1,10,9,20
2008/8/25,11,21,35,24,20
2008/8/26,28,4,30,11,6
2008/8/27,2,18,38,1,13
2008/8/28,33,37,1,31,16
2008/8/29,38,21,14,28,11
2008/9/1,28,27,37,15,26
2008/9/2,20,6,21,4,35
2008/9/3,1,5,33,28,32
2008/9/4,37,3,13,30,39
2008/9/5,15,20,4,31,34
2008/9/8,37,10,31,1,18
2008/9/9,24,38,8,28,39
2008/9/10,28,16,2,33,32
2008/9/11,34,29,10,12,35
2008/9/12,12,6,3,10,26
2008/9/15,37,11,2,16,26
2008/9/16,14,10,4,17,25
2008/9/17,37,33,8,16,36
2008/9/18,25,34,15,27,35
2008/9/19,27,2,17,23,13
2008/9/22,15,25,33,16,10
2008/9/23,24,9,34,25,30
2008/9/24,27,6,19,30,18
2008/9/25,16,32,1,13,23
2008/9/26,34,27,39,12,5
2008/9/29,37,4,22,13,19
2008/9/30,19,2,32,15,3
2008/10/1,15,25,13,34,23
2008/10/2,3,35,12,4,19
2008/10/3,36,7,21,27,23
2008/10/6,32,12,16,24,5
2008/10/7,30,10,18,19,23
2008/10/8,2,15,32,34,37
2008/10/9,20,1,37,4,19
2008/10/10,8,1,36,25,6
2008/10/13,11,14,13,6,10
2008/10/14,38,14,35,2,15
2008/10/15,8,26,3,23,4
2008/10/16,23,38,14,32,10
2008/10/17,6,30,3,38,4
2008/10/20,3,31,24,4,5
2008/10/21,8,14,21,25,28
2008/10/22,9,21,33,11,16
2008/10/23,39,37,36,8,34
2008/10/24,32,24,21,38,5
2008/10/27,32,3,31,18,33
2008/10/28,15,28,3,4,38
2008/10/29,26,19,18,17,30
2008/10/30,32,5,26,9,17
2008/10/31,5,29,38,31,35
2008/11/3,27,23,11,33,36
2008/11/4,10,15,25,9,5
2008/11/5,1,34,31,37,24
2008/11/6,8,1,35,12,13
2008/11/7,28,7,3,5,22
2008/11/10,19,31,4,26,30
2008/11/11,33,8,32,39,23
2008/11/12,11,28,24,5,31
2008/11/13,25,8,26,34,23
2008/11/14,12,29,4,13,5
2008/11/17,36,19,31,17,30
2008/11/18,8,22,18,24,7
2008/11/19,29,30,33,31,34
2008/11/20,21,38,2,28,39
2008/11/21,5,27,14,23,10
2008/11/24,25,24,2,34,1
2008/11/25,12,5,15,18,29
2008/11/26,30,26,24,18,4
2008/11/27,21,8,14,28,36
2008/11/28,14,16,18,39,15
2008/12/1,5,7,36,10,19
2008/12/2,9,31,17,15,6
2008/12/3,9,28,32,8,19
2008/12/4,21,17,38,39,19
2008/12/5,5,38,7,36,31
2008/12/8,35,38,27,37,13
2008/12/9,31,28,2,26,35
2008/12/10,20,30,27,22,14
2008/12/11,10,1,17,4,14
2008/12/12,14,23,10,32,25
2008/12/15,5,2,39,33,36
