"3星母艦(X,Y)","2星本命(X,Y)",絕對狙擊雙膽組合,歷史總產生,歷史總命中,回測期望真實勝率,常態性判定
"(5, 5)","(15, 14)","(1, 32)",1,0,0.0%,☠️ 雜訊
"(7, 6)","(10, 9)","(11, 32)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 7)","(1, 26)",3,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 8)","(2, 35)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 7)","(2, 39)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(7, 6)","(23, 37)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(11, 9)","(37, 39)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(11, 9)","(37, 39)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(13, 9)","(1, 24)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(14, 9)","(1, 7)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(13, 10)","(1, 33)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(13, 10)","(1, 33)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(14, 11)","(7, 11)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(14, 11)","(7, 11)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(8, 8)","(11, 27)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 7)","(5, 11)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 10)","(1, 10)",3,0,0.0%,☠️ 雜訊
"(6, 5)","(11, 10)","(1, 10)",2,0,0.0%,☠️ 雜訊
"(6, 5)","(11, 7)","(1, 39)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 8)","(1, 34)",3,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 8)","(11, 12)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 7)","(1, 15)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(6, 9)","(5, 30)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(12, 12)","(5, 32)",2,0,0.0%,☠️ 雜訊
"(6, 5)","(12, 12)","(5, 32)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(10, 7)","(30, 32)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 11)","(4, 35)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 11)","(29, 35)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 11)","(1, 35)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 11)","(19, 35)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 9)","(11, 14)",3,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 10)","(14, 31)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 11)","(21, 29)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(7, 8)","(5, 23)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 6)","(23, 32)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(9, 10)","(16, 29)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 9)","(19, 29)",3,0,0.0%,☠️ 雜訊
"(6, 5)","(9, 9)","(19, 29)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 13)","(10, 14)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(8, 10)","(14, 16)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(8, 9)","(7, 29)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(9, 10)","(10, 24)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(13, 10)","(24, 26)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 11)","(14, 35)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 9)","(28, 35)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(13, 11)","(2, 37)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 8)","(3, 37)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(11, 13)","(18, 25)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(11, 13)","(18, 25)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 10)","(14, 15)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(11, 10)","(14, 15)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(8, 8)","(15, 26)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(15, 13)","(19, 25)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(15, 13)","(19, 25)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(16, 15)","(25, 33)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(16, 15)","(25, 33)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(13, 12)","(19, 37)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(13, 12)","(19, 37)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(13, 12)","(19, 37)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(13, 11)","(31, 37)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(7, 6)","(13, 24)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(11, 10)","(24, 27)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(11, 10)","(24, 27)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 9)","(6, 20)",3,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 10)","(6, 27)",3,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 9)","(20, 27)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 8)","(1, 17)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 8)","(1, 17)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(8, 9)","(17, 27)",4,0,0.0%,☠️ 雜訊
"(5, 5)","(11, 7)","(5, 6)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(17, 12)","(17, 19)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(17, 12)","(17, 19)",1,0,0.0%,☠️ 雜訊
"(7, 3)","(17, 12)","(17, 19)",1,0,0.0%,☠️ 雜訊
"(7, 6)","(12, 11)","(17, 20)",1,0,0.0%,☠️ 雜訊
"(7, 3)","(12, 11)","(17, 20)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(13, 12)","(19, 20)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(13, 12)","(19, 20)",1,0,0.0%,☠️ 雜訊
"(7, 3)","(13, 12)","(19, 20)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(7, 4)","(8, 35)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 13)","(10, 35)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(7, 9)","(24, 32)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 11)","(32, 37)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 11)","(29, 35)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 10)","(35, 39)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(16, 12)","(26, 37)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 10)","(3, 15)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 9)","(10, 25)",3,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 12)","(25, 28)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 8)","(6, 9)",5,0,0.0%,☠️ 雜訊
"(5, 4)","(13, 15)","(6, 35)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(13, 15)","(6, 35)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 13)","(9, 35)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(13, 13)","(22, 25)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(13, 13)","(22, 25)",2,0,0.0%,☠️ 雜訊
"(6, 5)","(10, 10)","(14, 20)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(8, 7)","(16, 23)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(11, 11)","(23, 33)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(13, 8)","(17, 31)",1,0,0.0%,☠️ 雜訊
"(7, 3)","(13, 8)","(17, 31)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 5)","(20, 31)",1,0,0.0%,☠️ 雜訊
"(7, 3)","(11, 5)","(20, 31)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 11)","(25, 30)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 12)","(9, 37)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 13)","(18, 37)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(11, 13)","(18, 37)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(8, 9)","(6, 26)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(8, 13)","(6, 15)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 13)","(6, 18)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(12, 12)","(15, 18)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 13)","(13, 17)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(12, 13)","(6, 19)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 9)","(5, 23)",3,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 9)","(5, 34)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(5, 5)","(23, 34)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 12)","(33, 37)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(11, 12)","(33, 37)",1,0,0.0%,☠️ 雜訊
"(7, 6)","(11, 13)","(15, 17)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(11, 13)","(15, 17)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 13)","(15, 20)",1,0,0.0%,☠️ 雜訊
"(7, 6)","(12, 13)","(15, 20)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(12, 11)","(17, 39)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 10)","(17, 33)",2,0,0.0%,☠️ 雜訊
"(6, 5)","(12, 10)","(17, 33)",2,0,0.0%,☠️ 雜訊
"(6, 5)","(11, 13)","(14, 25)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(7, 8)","(21, 35)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 11)","(13, 15)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(10, 11)","(13, 15)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(13, 11)","(15, 31)",2,0,0.0%,☠️ 雜訊
"(6, 5)","(8, 8)","(18, 23)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 10)","(23, 25)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(12, 12)","(7, 35)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(7, 9)","(17, 30)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 13)","(19, 24)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 10)","(6, 17)",3,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 12)","(6, 39)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(11, 12)","(19, 35)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 13)","(30, 35)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 9)","(11, 25)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(9, 7)","(6, 7)",2,0,0.0%,☠️ 雜訊
"(6, 5)","(13, 12)","(15, 19)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(8, 8)","(6, 23)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 9)","(23, 31)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(8, 10)","(7, 37)",2,0,0.0%,☠️ 雜訊
"(6, 5)","(12, 9)","(22, 24)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(6, 4)","(6, 17)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 11)","(17, 27)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(11, 11)","(17, 27)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 8)","(5, 34)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 10)","(31, 34)",2,0,0.0%,☠️ 雜訊
"(6, 5)","(10, 10)","(31, 34)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 8)","(1, 4)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(11, 8)","(1, 4)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 9)","(17, 32)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(14, 10)","(26, 32)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(15, 12)","(31, 32)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(15, 12)","(31, 32)",2,0,0.0%,☠️ 雜訊
"(6, 5)","(15, 12)","(31, 32)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 7)","(32, 34)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(10, 7)","(32, 34)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 5)","(4, 13)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 8)","(8, 32)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 8)","(8, 32)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(7, 7)","(10, 32)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 12)","(5, 32)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 8)","(22, 32)",6,0,0.0%,☠️ 雜訊
"(5, 4)","(5, 4)","(4, 29)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 11)","(29, 32)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(10, 11)","(29, 32)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(8, 11)","(25, 26)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(6, 8)","(4, 31)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(5, 6)","(13, 14)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(8, 8)","(13, 26)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 5)","(14, 26)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(7, 6)","(23, 27)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 7)","(23, 38)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 7)","(5, 17)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(5, 7)","(2, 14)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 8)","(14, 21)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 10)","(26, 30)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 7)","(30, 32)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 7)","(17, 22)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(7, 7)","(8, 23)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(11, 9)","(4, 8)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 11)","(5, 14)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(12, 11)","(5, 14)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 8)","(1, 17)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(12, 13)","(11, 13)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 10)","(13, 21)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 10)","(13, 21)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 10)","(13, 34)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(12, 10)","(13, 34)",4,0,0.0%,☠️ 雜訊
"(6, 5)","(12, 10)","(13, 34)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 10)","(13, 22)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 10)","(13, 33)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 7)","(21, 23)",3,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 8)","(21, 27)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 9)","(6, 9)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 11)","(6, 33)",1,0,0.0%,☠️ 雜訊
"(7, 6)","(12, 8)","(13, 14)",1,0,0.0%,☠️ 雜訊
"(7, 6)","(11, 9)","(13, 36)",1,0,0.0%,☠️ 雜訊
"(7, 6)","(11, 10)","(14, 36)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(11, 10)","(14, 36)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 10)","(27, 29)",3,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 10)","(27, 39)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 9)","(5, 15)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(5, 5)","(14, 15)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(10, 11)","(6, 11)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 12)","(6, 28)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(11, 12)","(6, 28)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(12, 14)","(6, 21)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(13, 12)","(6, 34)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(13, 12)","(6, 34)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(8, 7)","(13, 25)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 11)","(13, 27)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(10, 11)","(13, 27)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(9, 7)","(25, 27)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 10)","(1, 2)",4,0,0.0%,☠️ 雜訊
"(6, 5)","(10, 8)","(13, 26)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 9)","(19, 23)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(6, 6)","(19, 27)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 10)","(27, 31)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 10)","(27, 31)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 12)","(1, 29)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(12, 12)","(1, 29)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(7, 8)","(13, 35)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(7, 8)","(13, 35)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(13, 12)","(6, 37)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(11, 11)","(5, 23)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 8)","(10, 23)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 8)","(10, 23)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 8)","(17, 27)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(7, 7)","(6, 25)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(6, 8)","(3, 8)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(7, 9)","(3, 34)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(7, 9)","(15, 37)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(15, 14)","(6, 13)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(15, 14)","(6, 13)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(15, 14)","(6, 13)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(13, 8)","(6, 26)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(7, 5)","(6, 17)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 9)","(23, 26)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 9)","(1, 39)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 8)","(1, 26)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 7)","(23, 29)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 7)","(23, 37)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 7)","(10, 14)",3,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 6)","(10, 27)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 9)","(14, 27)",3,0,0.0%,☠️ 雜訊
"(6, 5)","(12, 8)","(14, 37)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(8, 11)","(2, 6)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 10)","(13, 28)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 8)","(2, 11)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(11, 8)","(2, 11)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(15, 13)","(2, 21)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(15, 13)","(2, 21)",1,0,0.0%,☠️ 雜訊
"(8, 6)","(15, 13)","(2, 21)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 6)","(11, 21)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 7)","(2, 30)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(8, 7)","(2, 30)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(14, 14)","(2, 37)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(14, 14)","(2, 37)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 7)","(3, 37)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(6, 4)","(14, 28)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(14, 9)","(14, 37)",1,0,0.0%,☠️ 雜訊
"(7, 3)","(14, 9)","(14, 37)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 7)","(28, 37)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(7, 4)","(9, 12)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 8)","(9, 13)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 6)","(12, 13)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 12)","(5, 36)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(12, 12)","(5, 36)",3,0,0.0%,☠️ 雜訊
"(6, 5)","(12, 12)","(5, 36)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 9)","(12, 36)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(12, 9)","(12, 36)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 7)","(2, 14)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(11, 7)","(2, 14)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(11, 7)","(2, 14)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(13, 8)","(11, 14)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(13, 8)","(11, 14)",1,0,0.0%,☠️ 雜訊
"(7, 3)","(13, 8)","(11, 14)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 8)","(2, 9)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(7, 6)","(9, 34)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 6)","(10, 11)",2,0,0.0%,☠️ 雜訊
"(6, 5)","(8, 6)","(10, 11)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(7, 7)","(10, 14)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(7, 7)","(10, 14)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 8)","(20, 30)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(7, 8)","(30, 32)",4,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 9)","(2, 10)",2,0,0.0%,☠️ 雜訊
"(6, 5)","(10, 9)","(2, 10)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(7, 7)","(10, 37)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(9, 7)","(6, 36)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 11)","(25, 37)",5,0,0.0%,☠️ 雜訊
"(5, 5)","(11, 12)","(5, 11)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(11, 12)","(5, 11)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 11)","(5, 14)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 12)","(16, 37)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(12, 12)","(16, 37)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 11)","(28, 36)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 8)","(17, 36)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(12, 8)","(17, 36)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 8)","(17, 37)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 10)","(36, 37)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(5, 6)","(37, 39)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 7)","(1, 21)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 10)","(21, 34)",1,0,0.0%,☠️ 雜訊
"(8, 6)","(11, 10)","(21, 34)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 5)","(14, 17)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(9, 8)","(27, 37)",1,0,0.0%,☠️ 雜訊
"(7, 3)","(10, 7)","(11, 37)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 11)","(25, 36)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 8)","(7, 36)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(7, 5)","(14, 21)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(7, 6)","(30, 37)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(5, 4)","(13, 30)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 10)","(13, 34)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(6, 5)","(16, 17)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 8)","(16, 36)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(12, 9)","(2, 36)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(7, 8)","(21, 36)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 8)","(20, 36)",3,0,0.0%,☠️ 雜訊
"(5, 5)","(12, 13)","(15, 31)",2,0,0.0%,☠️ 雜訊
"(7, 8)","(12, 13)","(15, 31)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(11, 8)","(15, 37)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(12, 14)","(31, 37)",4,0,0.0%,☠️ 雜訊
"(5, 4)","(13, 11)","(5, 13)",1,0,0.0%,☠️ 雜訊
"(6, 5)","(13, 11)","(5, 13)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 11)","(13, 17)",2,0,0.0%,☠️ 雜訊
"(5, 5)","(10, 11)","(13, 17)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(8, 7)","(4, 35)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(11, 9)","(4, 16)",3,0,0.0%,☠️ 雜訊
"(5, 4)","(12, 12)","(4, 31)",2,0,0.0%,☠️ 雜訊
"(7, 8)","(12, 12)","(4, 31)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 9)","(16, 31)",1,0,0.0%,☠️ 雜訊
"(5, 5)","(9, 9)","(16, 31)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 12)","(4, 13)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 7)","(4, 28)",1,0,0.0%,☠️ 雜訊
"(5, 4)","(10, 9)","(13, 28)",2,0,0.0%,☠️ 雜訊
"(5, 4)","(9, 8)","(15, 33)",1,0,0.0%,☠️ 雜訊
